Filename	CorrFile	FittingFunc	Run	HashCode	Treatment	SL	Series	pCa	Pi (mM)	ATP (mM)	Freq (Hz)	Em (kPa)	Vm (kPa)	Em Fit	Vm Fit	Quality	
24208R11	Rig1_SysError_2021_11_17_New.msn	Cardiac_Human_S2	1	2B487	control	1.9	1.0000	8.0000	0.3000	8.0000	4.0000	-4.9000	6.7589	14.8832	8.8218	1.0000
24208R11	Rig1_SysError_2021_11_17_New.msn	Cardiac_Human_S2	1	2B487	control	1.9	1.0000	8.0000	0.3000	8.0000	4.5000	19.3208	-3.1545	15.4924	9.1830	1.0000
24208R11	Rig1_SysError_2021_11_17_New.msn	Cardiac_Human_S2	1	2B487	control	1.9	1.0000	8.0000	0.3000	8.0000	5.0000	3.6258	7.3312	16.0585	9.5185	1.0000
24208R11	Rig1_SysError_2021_11_17_New.msn	Cardiac_Human_S2	1	2B487	control	1.9	1.0000	8.0000	0.3000	8.0000	5.5000	7.0155	6.1907	16.5884	9.8326	1.0000
24208R11	Rig1_SysError_2021_11_17_New.msn	Cardiac_Human_S2	1	2B487	control	1.9	1.0000	8.0000	0.3000	8.0000	6.0000	14.4967	-1.7278	17.0875	10.1284	1.0000
24208R11	Rig1_SysError_2021_11_17_New.msn	Cardiac_Human_S2	1	2B487	control	1.9	1.0000	8.0000	0.3000	8.0000	7.0000	15.6094	4.4737	18.0087	10.6744	1.0000
24208R11	Rig1_SysError_2021_11_17_New.msn	Cardiac_Human_S2	1	2B487	control	1.9	1.0000	8.0000	0.3000	8.0000	8.0000	20.3985	11.8653	18.8467	11.1712	1.0000
24208R11	Rig1_SysError_2021_11_17_New.msn	Cardiac_Human_S2	1	2B487	control	1.9	1.0000	8.0000	0.3000	8.0000	9.0000	11.0572	10.6375	19.6182	11.6285	1.0000
24208R11	Rig1_SysError_2021_11_17_New.msn	Cardiac_Human_S2	1	2B487	control	1.9	1.0000	8.0000	0.3000	8.0000	12.0000	17.9493	10.8001	21.6380	12.8257	1.0000
24208R11	Rig1_SysError_2021_11_17_New.msn	Cardiac_Human_S2	1	2B487	control	1.9	1.0000	8.0000	0.3000	8.0000	15.0000	19.0371	13.2429	23.3469	13.8386	1.0000
24208R11	Rig1_SysError_2021_11_17_New.msn	Cardiac_Human_S2	1	2B487	control	1.9	1.0000	8.0000	0.3000	8.0000	20.0000	18.7444	22.3092	25.7506	15.2634	1.0000
24208R11	Rig1_SysError_2021_11_17_New.msn	Cardiac_Human_S2	1	2B487	control	1.9	1.0000	8.0000	0.3000	8.0000	25.0000	23.7707	23.1509	27.7842	16.4688	1.0000
24208R11	Rig1_SysError_2021_11_17_New.msn	Cardiac_Human_S2	1	2B487	control	1.9	1.0000	8.0000	0.3000	8.0000	30.0000	26.7603	24.0407	29.5644	17.5240	1.0000
24208R11	Rig1_SysError_2021_11_17_New.msn	Cardiac_Human_S2	1	2B487	control	1.9	1.0000	8.0000	0.3000	8.0000	35.0000	34.5073	27.0228	31.1583	18.4687	1.0000
24208R11	Rig1_SysError_2021_11_17_New.msn	Cardiac_Human_S2	1	2B487	control	1.9	1.0000	8.0000	0.3000	8.0000	40.0000	31.9310	25.6022	32.6082	19.3282	1.0000
24208R11	Rig1_SysError_2021_11_17_New.msn	Cardiac_Human_S2	1	2B487	control	1.9	1.0000	8.0000	0.3000	8.0000	45.0000	36.0685	22.1065	33.9431	20.1194	1.0000
24208R11	Rig1_SysError_2021_11_17_New.msn	Cardiac_Human_S2	1	2B487	control	1.9	1.0000	8.0000	0.3000	8.0000	55.0000	37.8725	22.6623	36.3444	21.5427	1.0000
